SMILES,mouse_fup
C[C@@](CCN1Cc2cc(C#CC#CC3(CO)CC3)cn2C1=O)(C(O)=NO)S(C)(=O)=O,-3.0705810231922417
COC(=O)Nc1nc(C)c(S(=O)(=O)N2CCN(C[C@H](C)Nc3ncnc4c(-c5c(C)noc5C)cccc34)CC2)s1,-2.3665315343205418
CNc1cc(Nc2cccn(-c3ncccc3F)c2=O)nc2c(C(=O)N[C@@H]3CC[C@H]3OC)cnn12,-1.0861861470866558
Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2CO[P@@](=O)(S)O[C@@H]3[C@H](O)[C@@H](CO[P@@](=O)(S)O[C@H]2[C@H]1F)O[C@H]3n1cnc2c(=O)[nH]ncc21,-0.1135092747711162
O=C(Nc1ccc(F)c(-c2nc3ncc(-c4ccccc4F)cn3n2)c1)N1CCC(F)(F)C1,-1.394694952781237
CC(=O)NC1CC(=O)NCCCCC(C(=O)NC(CCCN=C(N)N)C(=O)c2nc3ccccc3s2)NC(=O)C(CC(C)C)NC1=O,-0.5436339667191058
CC1=Nc2c(F)cc(-c3nc(Nc4ccc(C5CCN(C)CC5)cn4)ncc3F)cc2C12CCCC2,-2.154901953781536
C=C[C@]1(C)C[C@@H](OC(=O)COc2ccc3c(c2C)B(O)N(C(=O)OC)N=C3)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,-2.221848742378115
Cc1[nH]c(C(=O)/N=c2\sc3cc(C(=O)O)ccc3n2CC(=O)c2ccccc2)c(Cl)c1Cl,-3.999999565705736
O=C(Nc1nc2cccc(C3CCC4(CC3)CCN(C(=O)C3CC3(F)F)CC4)n2n1)C1CC1,-1.2441251435655885
CC(C)COc1ncc(-c2cn(C)c3cc(C(=O)NS(=O)(=O)C4CC4)c(F)cc23)cc1Cl,-2.6989699826212954
Cc1ccc(C#Cc2cccc(-c3nn(-c4nc(C(=O)O)cs4)c(CC4CC4)c3Cc3ccc(S(N)(=O)=O)c(F)c3)c2)s1,-1.3565473225267797
C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(Cl)cc3)nn21,-0.782516055522885
Cc1cccc(C)c1C(=O)N[C@H](c1ccccc1)C12CCC(CC1)CN2C,-0.4948500215443769
COc1ccc(CN2CCO[C@H](COc3ccccc3)C2)cc1F,-1.4317982747592362
COCCOc1cc(C(=O)O)cc2sc(NC(=O)c3[nH]c(C)c(Cl)c3Cl)nc12,-2.397939997814676
Fc1ccc(CO[C@H]2CCCN(Cc3ncn4ccccc34)C2)cc1F,-0.7423214248908738
C=C[C@]1(C)C[C@@H](OC(=O)CSCCN(CC)CC)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,-0.5850266518621456
FC(F)(F)c1cccc(COC2CCN(Cc3ccc4[nH]cnc4c3)CC2)c1,-0.7931741236984021
CNC(=O)c1ccc(-c2nnc(Cc3c[nH]c4cnccc34)nc2-c2ccccc2)cc1,-1.4202164022403096
C[C@H](NC(=O)c1c(Nc2cccc(C(F)(F)F)c2)c2ccccc2n1C)c1ccc(C(=O)O)cc1,-0.1519957284411034
Cn1cncc1-c1cc(F)ccc1CN1CCP(=O)(O)[C@](CCCCN)(C(=O)O)C1,-0.0315170513993665
Fc1ccc(COC2CCN(Cc3ccc4[nH]cnc4c3)CC2)cc1F,-0.3968556272715148
CC(C(N)=O)n1cc(C#CCN(C(=O)Cc2ncc(C(F)(F)F)cc2C(F)(F)F)c2ccc(F)cc2)cn1,-1.3565473225267797
O=C(Nc1ccc(F)c(-c2nc3ncc(-c4ccc(Cl)cc4)cn3n2)c1)N1CCC(F)(F)C1,-1.8632794296735609
NC(Cc1c[nH]cn1)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,-2.180456057877912
COC(=O)Nc1nc(C)c(S(=O)(=O)N2CCN(C[C@H](C)Nc3ncnc4c(-c5cccnc5)cccc34)CC2)s1,-2.6020599739561834
CCC(=C(c1ccc(/C=C/C(=O)O)cc1)c1ccc2[nH]ncc2c1)c1ccc(F)cc1Cl,-1.958607310893644
Cc1[nH]c(C(=O)Nc2nc3c(OCc4cccnc4)cc(C(=O)O)cc3s2)c(Cl)c1Cl,-3.5228786005155346
Cn1cnc2cc(CN3CCC(OCc4cccc(C(F)(F)F)c4)CC3)ccc21,-1.2441251435655885
C[C@@H]1CN(c2ncc(Cl)c(Nc3ccc4c(c3)n(CCC(C)(C)O)c(=O)n4C)n2)C[C@H](C)C1(F)F,-3.1549018979436787
COc1ccc(-c2nn([C@@H](C)c3nn(-c4cccnc4)c4cc(Cl)ccc34)c3ncnc(N)c23)cc1F,-2.8538719333007285
COc1ccccc1-c1nccc(COc2ccccc2CC(Oc2ncnc3sc(-c4ccc(F)cc4)c(-c4ccc(OCCN5CCN(C)CC5)c(Cl)c4C)c23)C(=O)O)n1,-3.3979399000984305
Cc1nnc(N2C[C@H]3CC[C@@H](C2)[C@@H]3Nc2nc3c(OC(C)C(F)(F)F)ccc(C(F)(F)F)n3n2)o1,-1.3565473225267797
Cc1c(N2CCN(C)CC2)ccc2c3c(c(=O)oc12)CN(C(=O)c1ccc(NS(C)(=O)=O)c(Cl)c1)CC3,-0.8153085688985485
Cc1[nH]c(C(=O)Nc2nc3c(OCc4cc[n+](C)cc4)cc(C(=O)O)cc3s2)c(Cl)c1Cl,-0.9665762441109258
CNc1nc(Nc2ccc(-n3cnc(C)n3)c(OC)c2)nc2c1CCC2c1ccc(F)cc1,-2.154901953781536
CCn1nnc2c(C)c([C@@H](CC(=O)O)c3ccc4c(c3)CN(C(=O)c3c(C)c(C)cc(C)c3C)CC4)ccc21,-2.296708613281448
Cc1csc2c(N[C@@H](C)CN3CCN(S(=O)(=O)c4ccc(Cl)c(Cl)c4)CC3)ncnc12,-2.187086636675691
CCOc1ccccc1S(=O)(=O)N1CC(c2nc(-c3ccc(F)cc3Cl)no2)C1,-1.8538719612196584
C[N+]12CCC(c3ccc(-c4cc(C(=O)O)cc5cc(-c6ccc(C(F)(F)F)cc6)ccc45)cc3)(CC1)CC2,-2.026872141780147
N=C1N[C@@]2(c3cc(NC(=O)c4ncc(F)cc4F)ccc3F)CN(c3ncc(F)cn3)C[C@H]2CS1,-1.6020599895907843
CC(C)COc1ccc(-c2cn(C)c3cc(C(=O)NS(=O)(=O)C4CC4)c(F)cc23)cn1,-2.221848742378115
Cn1c(CNC2(C)CCC2)cc2cc3c(cc21)OCCc1c-3[nH]c(=O)c(C(=O)O)c1O,-0.8239087406547891
Cc1cccc(Cl)c1C(=O)NC(Cc1ccc(-c2c(C)n(C)c(=O)n(C)c2=O)cc1)C(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@@H]2O,-0.0457574905124201
CC(=O)NC1CCCCNC(=O)CCC(C(=O)NC(CCCN=C(N)N)C(=O)c2nc3ccccc3s2)NC(=O)C(CCCN=C(N)N)NC1=O,-0.5867002357510669
CN1CCN(c2cc(F)c3c(c2)N(C)C(=O)C32CCN(c3nc(=O)c4c([nH]3)N(C)CCC4)CC2)CC1,-1.721246396761411
CCc1nc([C@@H](N)CC(C)C)nc2cc(OC)c(-c3cnco3)cc12,-0.9999999995657056
O=C(O)CC(Cc1ccccc1)C(=O)N(c1nc(-c2ccccc2Cl)cs1)C1CC1,-2.6020599739561834
OC[C@H]1O[C@H](Sc2ccc(Cl)c(Cl)c2)[C@H](O)[C@@H](n2cc(-c3cc(F)c(F)c(F)c3)nn2)[C@H]1O,-2.107905391741641
COc1ccc(/C(=C(\c2ccc(/C=C/C(=O)O)cc2)c2ccc3nccn3c2)C2CCC2)c(Cl)c1,-1.8239087380490224
C[C@@H]1CN(c2cc(F)c3c(c2)N(C)C(=O)C32CCN(c3nc(=O)c4c([nH]3)N(C)CCC4)CC2)C[C@H](C)O1,-2.221848742378115
Cc1[nH]c(C(=O)Nc2nc3c(N4C[C@H]5CC[C@@H](C4)O5)cc(C(=O)O)cc3s2)c(Cl)c1Cl,-2.397939997814676
O=S(=O)(Nc1ccncn1)c1cc2c(cc1F)[C@@H](N1CC[C@H](C(F)(F)F)C[C@@H]1c1ccncn1)CCO2,-3.091514927504751
Cc1ccc(-n2c(C(=O)NC3CC3)nc3cccnc32)cc1Cl,-1.2518119722182737
O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,-0.5003129172441612
Cc1ccc(C2=C(c3nn[nH]n3)C(=O)N[C@@](c3ccc(OCCCC(F)(F)F)cc3)(C(F)(F)F)C2)cc1,-1.721246396761411
Cc1[nH]c(C(=O)Nc2nc3c(OCC(F)(F)F)cc(C(=O)O)cc3s2)c(Cl)c1Cl,-1.928117989013413
O=C(NCC1CCC(F)(F)CC1)c1c(Cl)ccc2nc(N3CC[C@H](F)C3)ccc12,-1.5228787438326894
Cn1ncc2cc(CN3CCC(OCc4cccc(C(F)(F)F)c4)CC3)ccc21,-1.2441251435655885
CCN(C)C(=O)N1C[C@@H]2C(C(=O)N[C@H]3CCN(c4nccn5ccnc45)C3)[C@@H]2C1,-0.3979400085634639
CC(C)C(C(=O)Nc1nccs1)c1ccc(Cl)cc1,-2.283996648013384
CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,-1.5850266503588186
