Molecule_Name,Smiles,Mouse_fup,Source
CHEMBL5405825,COc1ccc(-c2nn([C@@H](C)c3nn(-c4cccnc4)c4cc(Cl)ccc34)c3ncnc(N)c23)cc1F,0.0014,CHEMBL 35
CHEMBL5170406,Cn1cc2c3cc(C(=O)O)ccc3n(-c3ccc(C(F)(F)F)cc3)c2n1,0.02,CHEMBL 35
CHEMBL5429808,FC(F)c1nnc(-c2ccc(Cn3nnc(-c4ccccn4)n3)nc2)o1,0.27,CHEMBL 35
CHEMBL5404004,COCCOc1cc(C(=O)O)cc2sc(NC(=O)c3[nH]c(C)c(Cl)c3Cl)nc12,0.004,CHEMBL 35
CHEMBL2152899,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)Cn2c(C#N)cnc2C(N)=N1,0.06,CHEMBL 35
CHEMBL4439294,O[C@@H]1c2ccnn2CC[C@H]1[C@H]1c2ccccc2-c2cncn21,0.09,CHEMBL 35
CHEMBL4203636,Cn1c(CN2CCCC2)cc2cc3c(cc21)OCCc1c-3[nH]c(=O)c(C(=O)O)c1O,0.18,CHEMBL 35
CHEMBL4277551,O=C(NCc1ccccc1)[C@@H](c1ccccc1)N1CCN(C(=O)c2cc(F)ccc2Cl)CC1,0.037,CHEMBL 35
CHEMBL4470092,Oc1ccc(-c2cc(-c3ccccc3Cl)nc3c2Cc2c(O)cccc2-3)cc1,1,CHEMBL 35
CHEMBL4475017,CC(C)COc1ncc(-c2cn(C)c3cc(C(=O)NS(C)(=O)=O)c(F)cc23)cc1Cl,0.002,CHEMBL 35
CHEMBL4462886,O=C(Nc1ccc(F)c(-c2nc3ncc(-c4ccccc4F)cn3n2)c1)N1CCC(F)(F)C1,0.0403,CHEMBL 35
CHEMBL417852,CNC1=NC(=O)[C@H]([C@H](C)c2c[nH]c3ccccc23)O1,0.441,CHEMBL 35
CHEMBL4762079,O=C(c1nc2cccnc2n1-c1ccc(Cl)c(Cl)c1)N1CCC1,0.03,CHEMBL 35
CHEMBL4786383,COc1ncc(-n2c(C(=O)N3CC(F)C3)cc3cccnc32)cc1Cl,0.066,CHEMBL 35
CHEMBL5270781,CC1CN(c2ccncc2NC(=O)c2ccnn3cc(-c4ccccc4)nc23)CCO1,0.009,CHEMBL 35
CHEMBL5282319,O=C(Nc1cnccc1N1CCOCC1)c1ccnn2cc(-c3ccccc3)nc12,0.01,CHEMBL 35
CHEMBL4532724,C=C[C@]1(C)C[C@@H](OC(=O)COc2ccc3c(c2)B(O)OC3)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,0.003,CHEMBL 35
CHEMBL4539733,C=C[C@]1(C)C[C@@H](OC(=O)COc2ccc3c(c2C)B(O)OC3)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,0.012,CHEMBL 35
CHEMBL4211966,CC(C)CNCc1cc2cc3c(cc2n1C)OCCc1c-3[nH]c(=O)c(C(=O)O)c1O,0.23,CHEMBL 35
CHEMBL5095170,CCN(Cc1nc2c(N)nc3cc(-c4cc[nH]n4)ccc3c2[nH]1)C(C)=O,0.32,CHEMBL 35
CHEMBL4871014,C[C@@H](c1ccc2ccc(O[C@H]3CC[C@@H](C(F)(F)F)CC3)c(C(F)(F)F)c2c1)N1C2CCC1CC(C(=O)O)C2,0.00599,CHEMBL 35
CHEMBL3658966,C[C@@H]1CN2c3c(cc4c(-n5cncn5)noc4c3F)CC3(C(=O)NC(=O)NC3=O)[C@H]2[C@H](C)O1,0.12,CHEMBL 35
CHEMBL4764122,Cc1ccc(-n2c(C(=O)NC3CC3)nc3cccnc32)cc1Cl,0.056,CHEMBL 35
CHEMBL4865214,Cc1nc(Nc2ncc(C(=O)Nc3ncccc3C)s2)cc(N2CCN(CCO)CC2)n1,0.3,CHEMBL 35
